Aaron Finch
Alex Carey
Azam Khan
Babar Azam
Ben Stokes
Cameron Green
Chris Woakes
David Warner
Fakhar Zaman
Glenn Maxwell
Hardik Pandya
Haris Rauf
Harry Brook
Hasan Ali
Iftikhar Ahmed
Imam ul Haq
Ishan Kishan
Jason Roy
Jasprit Bumrah
Joe Root
Jofra Archer
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
Marcus Stoinis
Mark Wood
Marnus Labuschagne
Mitchell Starc
Moeen Ali
Mohammad Rizwan
Mohammed Shami
Naseem Shah
Ollie Pope
Pat Cummins
R Ashwin
Ravindra Jadeja
Rohit Sharma
Sam Curran
Sarfaraz Ahmed
Shadab Khan
Shaheen Afridi
Shreyas Iyer
Shubman Gill
Steve Smith
Suryakumar Yadav
Travis Head
Virat Kohli
